Année;Nom du vainqueur;Page Wikipédia;Pays du vainqueur;Pays du vainqueur  (group);Temps du vainqueur;Coureurs au départ;Coureurs ayant abandonné;Coureurs ayant fini la course;Longueur du parcours (km);Temps du vainqueur (h);Vitesse du vainqueur (km/h) ;Âge du vainqueur;Étapes
1997;J. Ullrich;http://en.wikipedia.org/wiki/1997_Tour_de_France;Allemagne;Autre;100h 30m 35s;198;59;139;3950;101,568980211;38,889826321;24;21
2011;C. Evans;http://en.wikipedia.org/wiki/2011_Tour_de_France;Australie;Autre;86h 12m 22s;198;31;167;3630;87,456328704;41,506430167;34;21
1969;E. Merckx;http://en.wikipedia.org/wiki/1969_Tour_de_France;Belgique;Autre;116h 16m 2s;130;44;86;4117;118,011293077;34,886491730;24;22
1970;E. Merckx;http://en.wikipedia.org/wiki/1970_Tour_de_France;Belgique;Autre;119h 31m 49s;150;50;100;4254;120,644251274;35,260693776;25;23
1971;E. Merckx;http://en.wikipedia.org/wiki/1971_Tour_de_France;Belgique;Autre;96h 45m 14s;130;36;94;3608;97,838409795;36,877132484;26;20
1972;E. Merckx;http://en.wikipedia.org/wiki/1972_Tour_de_France;Belgique;Autre;108h 17m 18s;132;44;88;3846;110,071254357;34,941002739;27;20
1974;E. Merckx;http://en.wikipedia.org/wiki/1974_Tour_de_France;Belgique;Autre;116h 16m 58s;130;25;105;4098;117,949019541;34,743824204;29;22
1919;F. Lambot;http://en.wikipedia.org/wiki/1919_Tour_de_France;Belgique;Autre;231h 7m 15s;69;58;11;5560;234,866662958;23,673006335;33;15
1922;F. Lambot;http://en.wikipedia.org/wiki/1922_Tour_de_France;Belgique;Autre;222h 8m 6s;121;83;38;5375;225,765617489;23,807876770;36;15
1926;L. Buysse;http://en.wikipedia.org/wiki/1926_Tour_de_France;Belgique;Autre;238h 44m 25s;126;85;41;5745;241,361351332;23,802485229;34;17
1921;L. Scieur;http://en.wikipedia.org/wiki/1921_Tour_de_France;Belgique;Autre;221h 50m 26s;123;85;38;5485;224,769982514;24,402724682;33;15
1976;L. Van Impe;http://en.wikipedia.org/wiki/1976_Tour_de_France;Belgique;Autre;116h 22m 23s;130;43;87;4017;117,953679897;34,055741233;30;22
1929;M. Dewaele;http://en.wikipedia.org/wiki/1929_Tour_de_France;Belgique;Autre;186h 39m 16s;155;95;60;5286;188,921076658;27,979937938;33;22
1912;O. Defraye;http://en.wikipedia.org/wiki/1912_Tour_de_France;Belgique;Autre;190h 30m 28s;131;90;41;5289;193,347757716;27,354855637;24;15
1913;P. Thys;http://en.wikipedia.org/wiki/1913_Tour_de_France;Belgique;Autre;197h 54m 0s;140;115;25;5287;200,398796295;26,382393995;23;15
1914;P. Thys;http://en.wikipedia.org/wiki/1914_Tour_de_France;Belgique;Autre;200h 28m 48s;145;91;54;5380;203,927777716;26,381889021;24;15
1920;P. Thys;http://en.wikipedia.org/wiki/1920_Tour_de_France;Belgique;Autre;228h 36m 13s;113;91;22;5503;231,749777486;23,745438117;30;15
1935;R. Maes;http://en.wikipedia.org/wiki/1935_Tour_de_France;Belgique;Autre;141h 23m 0s;93;47;46;4338;143,40584612;30,249812803;22;21
1936;S. Maes;http://en.wikipedia.org/wiki/1936_Tour_de_France;Belgique;Autre;142h 47m 32s;90;47;43;4442;144,35076719;30,772264578;27;21
1939;S. Maes;http://en.wikipedia.org/wiki/1939_Tour_de_France;Belgique;Autre;132h 3m 17s;79;30;49;4224;134,513041994;31,402159504;30;18
1996;B. Riis;http://en.wikipedia.org/wiki/1996_Tour_de_France;Danemark;Autre;95h 57m 16s;198;69;129;3765;96,697260781;38,935952990;32;21
2007;A. Contador;http://en.wikipedia.org/wiki/2007_Tour_de_France;Espagne;Autre;91h 0m 26s;189;48;141;3570;92,481504881;38,602313020;24;21
2009;A. Contador;http://en.wikipedia.org/wiki/2009_Tour_de_France;Espagne;Autre;85h 48m 35s;180;24;156;3459;86,550904536;39,964920281;26;21
2008;C. Sastre;http://en.wikipedia.org/wiki/2008_Tour_de_France;Espagne;Autre;87h 52m 52s;180;35;145;3559;88,45695952;40,234256517;33;21
1959;F. Bahamontes;http://en.wikipedia.org/wiki/1959_Tour_de_France;Espagne;Autre;123h 46m 45s;120;55;65;4358;124,913789267;34,888061803;31;22
1973;L.Ocana;http://en.wikipedia.org/wiki/1973_Tour_de_France;Espagne;Autre;122h 25m 34s;132;45;87;4090;123,975261437;32,990452713;28;20
1991;M. Indurain;http://en.wikipedia.org/wiki/1991_Tour_de_France;Espagne;Autre;101h 1m 20s;198;40;158;3914;102,69923482;38,111286874;27;22
1992;M. Indurain;http://en.wikipedia.org/wiki/1992_Tour_de_France;Espagne;Autre;100h 49m 30s;198;68;130;3983;101,62075584;39,194748820;28;21
1993;M. Indurain;http://en.wikipedia.org/wiki/1993_Tour_de_France;Espagne;Autre;95h 57m 9s;180;44;136;3714;96,745350373;38,389441825;29;20
1994;M. Indurain;http://en.wikipedia.org/wiki/1994_Tour_de_France;Espagne;Autre;103h 38m 38s;189;72;117;3978;104,571022387;38,041131369;30;21
1995;M. Indurain;http://en.wikipedia.org/wiki/1995_Tour_de_France;Espagne;Autre;92h 44m 59s;189;74;115;3635;93,628009902;38,823852005;31;20
2006;O. Pereiro;http://en.wikipedia.org/wiki/2006_Tour_de_France;Espagne;Autre;89h 39m 30s;176;37;139;3657;90,549691748;40,386664266;30;21
1988;P. Delgado;http://en.wikipedia.org/wiki/1988_Tour_de_France;Espagne;Autre;84h 27m 53s;198;47;151;3286;85,490361262;38,437081695;28;22
1986;G. LeMond;http://en.wikipedia.org/wiki/1986_Tour_de_France;États-Unis;Autre;110h 35m 19s;210;78;132;4094;111,945886211;36,571241147;25;23
1989;G. LeMond;http://en.wikipedia.org/wiki/1989_Tour_de_France;États-Unis;Autre;87h 38m 35s;198;60;138;3285;88,53834238;37,102569482;28;21
1990;G. LeMond;http://en.wikipedia.org/wiki/1990_Tour_de_France;États-Unis;Autre;90h 43m 20s;198;42;156;3504;91,717209469;38,204389561;29;21
1999;L. Armstrong;http://en.wikipedia.org/wiki/1999_Tour_de_France;États-Unis;Autre;91h 32m 16s;180;39;141;3870;92,562092022;41,809772397;28;20
2000;L. Armstrong;http://en.wikipedia.org/wiki/2000_Tour_de_France;États-Unis;Autre;92h 33m 8s;177;49;128;3662;93,45885468;39,183018159;29;21
2001;L. Armstrong;http://en.wikipedia.org/wiki/2001_Tour_de_France;États-Unis;Autre;86h 17m 28s;189;45;144;3458;87,397947496;39,566146564;30;20
2002;L. Armstrong;http://en.wikipedia.org/wiki/2002_Tour_de_France;États-Unis;Autre;82h 5m 12s;189;36;153;3278;83,41018307;39,299757887;31;20
2003;L. Armstrong;http://en.wikipedia.org/wiki/2003_Tour_de_France;États-Unis;Autre;83h 41m 12s;198;51;147;3427;84,410984181;40,598981676;32;20
2004;L. Armstrong;http://en.wikipedia.org/wiki/2004_Tour_de_France;États-Unis;Autre;83h 36m 2s;188;41;147;3391;84,45905084;40,149634246;33;20
2005;L. Armstrong;http://en.wikipedia.org/wiki/2005_Tour_de_France;États-Unis;Autre;86h 15m 2s;189;34;155;3593;87,509717085;41,058297520;34;21
1930;A. Leducq;http://en.wikipedia.org/wiki/1930_Tour_de_France;France;France;172h 12m 16s;100;41;59;4822;174,997932795;27,554611206;26;21
1932;A. Leducq;http://en.wikipedia.org/wiki/1932_Tour_de_France;France;France;154h 12m 59s;80;23;57;4479;156,50806191;28,618334068;28;21
1931;A. Magne;http://en.wikipedia.org/wiki/1931_Tour_de_France;France;France;177h 10m 3s;81;46;35;5091;179,609301032;28,344857258;27;24
1934;A. Magne;http://en.wikipedia.org/wiki/1934_Tour_de_France;France;France;147h 13m 58s;60;21;39;4470;149,406208546;29,918435408;30;23
1978;B. Hinault;http://en.wikipedia.org/wiki/1978_Tour_de_France;France;France;108h 18m 0s;110;32;78;3908;109,747628737;35,608969824;24;22
1979;B. Hinault;http://en.wikipedia.org/wiki/1979_Tour_de_France;France;France;103h 6m 50s;150;60;90;3765;104,857724204;35,905795482;25;24
1981;B. Hinault;http://en.wikipedia.org/wiki/1981_Tour_de_France;France;France;96h 19m 38s;150;29;121;3753;97,573799964;38,463194027;27;24
1982;B. Hinault;http://en.wikipedia.org/wiki/1982_Tour_de_France;France;France;92h 8m 46s;169;44;125;3507;93,794664532;37,390186505;28;21
1985;B. Hinault;http://en.wikipedia.org/wiki/1985_Tour_de_France;France;France;113h 24m 23s;180;36;144;4109;114,872153659;35,770200776;31;22
1975;B. Thévenet;http://en.wikipedia.org/wiki/1975_Tour_de_France;France;France;114h 35m 31s;140;54;86;4000;115,974505776;34,490338831;27;22
1977;B. Thévenet;http://en.wikipedia.org/wiki/1977_Tour_de_France;France;France;115h 38m 30s;100;47;53;4096;116,837460479;35,057249475;29;22
1911;G. Garrigou;http://en.wikipedia.org/wiki/1911_Tour_de_France;France;France;195h 37m 0s;84;56;28;5343;198,222462629;26,954563722;27;15
1933;G. Speicher;http://en.wikipedia.org/wiki/1933_Tour_de_France;France;France;147h 51m 37s;80;40;40;4395;149,500381254;29,397918341;26;23
1904;H. Cornet;http://en.wikipedia.org/wiki/1904_Tour_de_France;France;France;96h 5m 56s;88;61;27;2428;97,902401138;24,800208900;20;6
1923;H. Pélissier;http://en.wikipedia.org/wiki/1923_Tour_de_France;France;France;222h 15m 30s;139;91;48;5386;225,837049358;23,849054065;33;15
1957;J. Anquetil;http://en.wikipedia.org/wiki/1957_Tour_de_France;France;France;135h 44m 42s;120;64;56;4669;136,979721423;34,085337242;23;22
1961;J. Anquetil;http://en.wikipedia.org/wiki/1961_Tour_de_France;France;France;122h 1m 33s;132;60;72;4397;123,941361398;35,476453949;27;21
1962;J. Anquetil;http://en.wikipedia.org/wiki/1962_Tour_de_France;France;France;114h 31m 45s;149;55;94;4274;115,931683905;36,866539466;28;22
1963;J. Anquetil;http://en.wikipedia.org/wiki/1963_Tour_de_France;France;France;113h 30m 5s;130;54;76;4138;115,151034307;35,935413215;29;21
1964;J. Anquetil;http://en.wikipedia.org/wiki/1964_Tour_de_France;France;France;127h 9m 44s;132;51;81;4504;128,978725062;34,920487839;30;22
1947;J. Robic;http://en.wikipedia.org/wiki/1947_Tour_de_France;France;France;148h 11m 25s;100;47;53;4642;150,49918629;30,844020585;26;21
1966;L. Aimar;http://en.wikipedia.org/wiki/1966_Tour_de_France;France;France;117h 34m 21s;130;48;82;4329;119,310224744;36,283562530;25;22
1953;L. Bobet;http://en.wikipedia.org/wiki/1953_Tour_de_France;France;France;129h 23m 25s;119;43;76;4476;131,376998707;34,069890803;28;22
1954;L. Bobet;http://en.wikipedia.org/wiki/1954_Tour_de_France;France;France;140h 6m 5s;110;41;69;4656;142,20325577;32,741866385;29;23
1955;L. Bobet;http://en.wikipedia.org/wiki/1955_Tour_de_France;France;France;130h 29m 26s;130;61;69;4495;132,112012886;34,024157999;30;22
1983;L. Fignon;http://en.wikipedia.org/wiki/1983_Tour_de_France;France;France;105h 7m 52s;140;52;88;3809;106,913205228;35,627030280;23;22
1984;L. Fignon;http://en.wikipedia.org/wiki/1984_Tour_de_France;France;France;112h 3m 40s;170;46;124;4021;113,925647005;35,294949870;24;23
1907;L. Petit-Breton;http://en.wikipedia.org/wiki/1907_Tour_de_France;France;France;158h 45m 5s;93;60;33;4488;160,64590129;27,937220707;24;14
1908;L. Petit-Breton;http://en.wikipedia.org/wiki/1908_Tour_de_France;France;France;156h 53m 29s;112;76;36;4488;158,670744085;28,284987418;25;14
1905;L. Trousselier;http://en.wikipedia.org/wiki/1905_Tour_de_France;France;France;110h 26m 58s;60;36;24;2994;113,210734973;26,446255302;24;11
1903;M. Garin;http://en.wikipedia.org/wiki/1903_Tour_de_France;France;France;94h 33m 0s;60;39;21;2428;95,631706686;25,389069004;32;6
1910;O. Lapize;http://en.wikipedia.org/wiki/1910_Tour_de_France;France;France;162h 41m 30s;110;69;41;4734;165,312041044;28,636752472;21;15
1937;R. Lapébie;http://en.wikipedia.org/wiki/1937_Tour_de_France;France;France;138h 58m 31s;98;52;46;4415;140,512698067;31,420647819;26;20
1967;R. Pingeon;http://en.wikipedia.org/wiki/1967_Tour_de_France;France;France;136h 53m 50s;130;42;88;4779;138,263484618;34,564440591;27;22
1906;R. Pottier;http://en.wikipedia.org/wiki/1906_Tour_de_France;France;France;189h 34m 0s;82;68;14;4637;191,677431688;24,191684744;27;13
1956;R. Walkowiak;http://en.wikipedia.org/wiki/1956_Tour_de_France;France;France;124h 1m 16s;120;32;88;4498;126,287439801;35,617160401;29;22
